ID,Category,Price,Size,State,Brand,Colors,Amount_Of_Pictures,Ratio
836735319,Top,5.0,M / 38 / 10,Good,Monki,Blue,1,inf
836727524,Top,5.0,M / 38 / 10,Good,Zara,Black,3,0.14285714285714285
836687425,Skirt,5.0,M / 38 / 10,Good,Zara,Black,3,inf
836668475,Mens Top,40.0,S,Good,Comme des Garçons,Black,4,5.619047619047619
836651257,Top,5.0,S / 36 / 8,Good,& Other Stories,Black,2,3.2142857142857144
836640547,Top,5.0,S / 36 / 8,Good,Forever 21,Blue,2,inf
836624502,Sweater,25.0,M / 38 / 10,Very good,& Other Stories,Red,1,9.571428571428571
810352038,Heels,18.0,39,Very good,& Other Stories,Black,2,4.243243243243243
853224563,Blouse,9.95,M / 38 / 10,Very good,Vintage,Black,4,3.0
853074734,Pajamas,14.95,S / 36 / 8,Very good,Vintage,White,3,112.0
853105049,Skirt,16.95,M / 38 / 10,Very good,Vintage,Black,3,7.75
853075399,Jacket,24.95,S / 36 / 8,Very good,Vintage,Red,4,6.0
844325279,Top,16.95,M / 38 / 10,Very good,Vintage,Lilac,4,17.220338983050848
828976980,Top,29.95,L / 40 / 12,Very good,camel,Brown,4,8.785714285714286
849144132,Cardigan,27.95,L / 40 / 12,Very good,Vintage,Black,5,10.625
847297314,Jacket,26.95,M / 38 / 10,Very good,Vintage,Purple,4,12.2
850451583,Blouse,12.95,S / 36 / 8,Very good,Vintage,Black,5,5.8125
844786433,Jacket,24.95,M / 38 / 10,Very good,Vintage,Brown,4,8.076923076923077
851730166,Cardigan,19.95,M / 38 / 10,Very good,Vintage,Brown,3,34.0
844757882,Jacket,29.95,L / 40 / 12,Very good,WITBOY,Brown,6,17.9375
851566238,Blouse,9.95,M / 38 / 10,Very good,Vintage,Red,3,6.5
851562076,Cardigan,22.95,L / 40 / 12,Very good,Vintage,Black,5,8.0
834757770,Jacket,24.95,L / 40 / 12,Very good,ETTY,Red,3,7.166666666666667
851231570,Skirt,12.95,S / 36 / 8,Very good,Vintage,Red,3,5.4
834736134,Sweater,22.95,M / 38 / 10,Very good,Vintage,Green,4,13.545454545454545
844831275,Dress,12.95,M / 38 / 10,Very good,Mango,Burgundy,4,10.0
836700348,Top,9.95,M / 38 / 10,Very good,Fair Lady,White,4,6.611111111111111
681689598,Blouse,7.95,L / 40 / 12,Very good,Vintage,Blue,3,15.5
845846750,Sweater,12.0,M / 38 / 10,Very good,Vintage,Blue,2,inf
845224849,Top,9.0,S / 36 / 8,Very good,Vintage,Brown,4,3.625
845223643,Top,10.0,S / 36 / 8,Very good,H&M,Blue,2,8.727272727272727
845222607,Top,10.0,M / 38 / 10,Very good,Vintage,Blue,2,inf
845221613,Sweater,10.0,M / 38 / 10,Very good,Vintage,Brown,2,4.0
844414237,Mens Top,15.0,L,Very good,Ralph Lauren,Purple,2,inf
844412068,Top,7.0,M / 38 / 10,Very good,Vintage,Blue,2,5.1875
841337752,Blouse,17.0,S / 36 / 8,New without tags,Vintage,Pink,2,5.1875
841335497,Pants,17.0,XS / 34 / 6,New without tags,Vintage,Brown,4,20.666666666666668
841333102,Top,15.0,XS / 34 / 6,New without tags,Liz @ Joe,Beige,3,6.090909090909091
841330293,Sweater,10.0,L / 40 / 12,New without tags,Vintage,Orange,3,26.0
837857926,Sweater,20.0,M / 38 / 10,Very good,Vintage,Pink,3,inf
837854184,Sweater,17.0,M / 38 / 10,Very good,Vintage,Purple,2,5.7407407407407405
837850427,Skirt,15.0,S / 36 / 8,Very good,Hennes,Green,4,23.0
837803998,Top,8.0,S / 36 / 8,Very good,Vintage,Black,3,15.0
837772547,Top,10.0,S / 36 / 8,New without tags,Replay,Black,5,27.0
837763847,Top,7.0,M / 38 / 10,Very good,Vintage,Pink,3,inf
837758658,Dress,14.99,XS / 34 / 6,Very good,motel rocks,Black,6,29.0
837754666,Top,14.99,M / 38 / 10,Very good,Puma,Yellow,5,2.0
837712558,Jeans,7.5,XS / 34 / 6,New without tags,Vintage,White,2,inf
776846200,Jeans,12.5,S / 36 / 8,Very good,Vintage,Brown,4,13.0
776841957,Jacket,55.0,XXL / 44 / 16,Very good,McGregor,Brown,5,inf
776446328,Top,6.0,S / 36 / 8,Very good,Vintage,Blue,4,inf
776140252,Underwear,8.0,S / 36 / 8,Very good,Vintage,Pink,6,37.42857142857143
776138181,Top,15.0,M / 38 / 10,Very good,Zaza,Yellow,4,inf
776135314,Pants,12.5,M / 38 / 10,Very good,Noisy may,Blue,4,inf
776131010,Jeans,11.0,M / 38 / 10,Very good,Urban Outfitters,Beige,3,248.0
776128707,Jeans,8.0,M / 38 / 10,Satisfactory,AMBIKA,Blue,4,inf
776125774,Dress,15.0,M / 38 / 10,Very good,UNKNOWN,Pink,6,inf
776123490,Top,10.0,XS / 34 / 6,New with tags,welooc,Pink,3,3.7777777777777777
776120217,Cardigan,15.0,S / 36 / 8,Very good,Vintage,Black,5,17.5
776118513,Top,20.0,S / 36 / 8,Very good,Topshop,Blue,1,inf
776116706,Sweater,5.0,XXXS / 30 / 2,New with tags,Vintage,Pink,1,8.11111111111111
776115001,Sweater,10.0,S / 36 / 8,Very good,H&M,Black,5,28.0
776112239,Blouse,12.0,M / 38 / 10,Very good,UNKNOWN,Black,3,10.0
776108997,Sweater,6.0,M / 38 / 10,Very good,Vintage,Black,2,inf
776106364,Blouse,15.0,S / 36 / 8,New with tags,Loavies,Brown,5,inf
776101486,Blouse,10.0,M / 38 / 10,Very good,G-Star,Beige,4,inf
776096272,Sweater,5.0,XS / 34 / 6,Good,Miss America,Blue,2,inf
776093232,Sweater,10.0,S / 36 / 8,Very good,Vintage,Red,4,inf
776090837,Top,8.0,S / 36 / 8,Very good,Urban Outfitters,Blue,3,17.0
776087754,Jacket,12.5,M / 38 / 10,Good,Army,Green,3,inf
776084791,Jacket,35.0,M / 38 / 10,Very good,Vintage,Red,4,inf
528962850,Top,10.0,XS / 34 / 6,New with tags,welooc,Pink,1,20.571428571428573
838233610,Top,8.0,S / 36 / 8,Very good,Vintage,Beige,2,47.0
838227054,Cardigan,15.0,One size,New without tags,Vintage,Blue,3,3.4444444444444446
838218341,Dress,20.0,L / 40 / 12,Very good,Vintage,Blue,3,5.615384615384615
787312525,Sweater,20.0,S / 36 / 8,Very good,Vintage,Purple,3,16.2
692389901,Jeans,15.0,S / 36 / 8,Very good,Vintage,Blue,4,16.7
676085334,Skirt,5.0,S / 36 / 8,Very good,Vintage,Grey,1,39.54545454545455
676079039,Blouse,10.0,S / 36 / 8,Very good,Vintage,Brown,2,20.4
837157766,Blouse,5.0,M / 38 / 10,Very good,Vintage,Black,4,11.0
837148284,Top,12.0,S / 36 / 8,Very good,Leon Karssen,Black,4,23.0
837137931,Blouse,3.0,S / 36 / 8,Very good,Vintage,White,4,inf
837131449,Sweater,5.0,M / 38 / 10,Very good,Vintage,Black,5,inf
837123372,Blouse,5.0,M / 38 / 10,Very good,AliExpress,Red,5,11.0
837114867,Blouse,4.0,S / 36 / 8,Very good,Vintage,Red,4,19.0
837104628,Sweater,30.0,M / 38 / 10,New without tags,Dickies,Black,3,10.26923076923077
